price,price log,bedrooms,bedrooms log,bathrooms,bathrooms ROUNDED,Bathrooms log,sqft_living,sqft_living log,sqft_lot,sqft_lot log,floors,floors Rounded,floors log,waterfront,view,yr_built,yr_built log,yr_renovated,zipcode,lat,long
322500,5.508529719,4,0.602059991,2.75,3,0.477121255,2060,3.31386722,6659,3.823409015,1,1,0,0,0,1981,3.296884476,0,98058,47.4276,-122.157
696000,5.84260924,3,0.477121255,2.5,3,0.477121255,2300,3.361727836,3060,3.485721426,1.5,2,0.301029996,0,0,1930,3.285557309,2002,98115,47.6827,-122.31
550000,5.740362689,4,0.602059991,1,1,0,1660,3.220108088,34848,4.542177858,1,1,0,0,0,1933,3.286231854,0,98052,47.6621,-122.132
640000,5.806179974,4,0.602059991,2,2,0.301029996,2360,3.372912003,6000,3.77815125,2,2,0.301029996,0,0,1904,3.279666944,0,98107,47.6702,-122.362
240000,5.380211242,4,0.602059991,1,1,0,1220,3.086359831,8075,3.907142531,1,1,0,0,0,1969,3.294245716,0,98001,47.3341,-122.282
605000,5.781755375,4,0.602059991,2.5,3,0.477121255,2620,3.418301291,7553,3.878119485,2,2,0.301029996,0,0,1996,3.300160537,0,98056,47.5301,-122.18
625000,5.795880017,4,0.602059991,2.5,3,0.477121255,2570,3.409933123,5520,3.741939078,2,2,0.301029996,0,0,2000,3.301029996,0,98074,47.6145,-122.027
775000,5.889301703,4,0.602059991,2.25,2,0.301029996,4220,3.625312451,24186,4.383564049,1,1,0,0,0,1984,3.297541668,0,98166,47.445,-122.347
861990,5.935502228,5,0.698970004,2.75,3,0.477121255,3595,3.555698895,5639,3.751202095,2,2,0.301029996,0,0,2014,3.304059466,0,98053,47.6848,-122.016
685000,5.835690571,3,0.477121255,1,1,0,1570,3.195899652,2280,3.357934847,2,2,0.301029996,0,0,1922,3.283753383,0,98119,47.6413,-122.364
309000,5.489958479,3,0.477121255,1,1,0,1280,3.10720997,9656,3.984797257,1,1,0,0,0,1959,3.292034436,0,98058,47.4485,-122.175
488000,5.688419822,3,0.477121255,2.5,3,0.477121255,3160,3.499687083,13603,4.133634698,2,2,0.301029996,0,0,2003,3.301680949,0,98019,47.7443,-121.977
210490,5.323231468,3,0.477121255,1,1,0,990,2.995635195,8528,3.930847192,1,1,0,0,0,1966,3.293583513,0,98023,47.3066,-122.371
785000,5.894869657,4,0.602059991,2.5,3,0.477121255,2290,3.359835482,13416,4.12762305,2,2,0.301029996,0,0,1981,3.296884476,0,98007,47.6194,-122.151
450000,5.653212514,3,0.477121255,1.75,2,0.301029996,1250,3.096910013,5963,3.775464809,1,1,0,0,0,1953,3.290702243,0,98115,47.6796,-122.301
1.35E+06,6.130333768,3,0.477121255,2.5,3,0.477121255,2753,3.439806211,65005,4.812946763,1,1,0,1,2,1953,3.290702243,0,98070,47.4041,-122.451
228000,5.357934847,3,0.477121255,1,1,0,1190,3.075546961,9199,3.963740619,1,1,0,0,0,1955,3.291146762,0,98148,47.4258,-122.322
345000,5.537819095,5,0.698970004,2.5,3,0.477121255,3150,3.498310554,9134,3.960661007,1,1,0,0,0,1966,3.293583513,0,98056,47.4934,-122.189
600000,5.77815125,3,0.477121255,1.75,2,0.301029996,1410,3.149219113,4080,3.610660163,1,1,0,0,0,1950,3.290034611,0,98117,47.6808,-122.384
585000,5.767155866,2,0.301029996,1.75,2,0.301029996,1980,3.29666519,8550,3.931966115,1,1,0,0,0,1981,3.296884476,0,98117,47.6989,-122.369
920000,5.963787827,5,0.698970004,2.25,2,0.301029996,2730,3.436162647,6000,3.77815125,1.5,2,0.301029996,0,0,1927,3.284881715,0,98105,47.6571,-122.281
885000,5.946943271,4,0.602059991,2.5,3,0.477121255,2830,3.451786436,5000,3.698970004,2,2,0.301029996,0,0,1995,3.2999429,0,98105,47.6597,-122.29
292500,5.46612587,4,0.602059991,2.5,3,0.477121255,2250,3.352182518,4495,3.652729696,2,2,0.301029996,0,0,2008,3.302763708,0,98042,47.3663,-122.114
301000,5.478566496,3,0.477121255,2.5,3,0.477121255,2420,3.383815366,4750,3.67669361,2,2,0.301029996,0,0,2003,3.301680949,0,98042,47.3663,-122.122
951000,5.978180517,5,0.698970004,3.25,3,0.477121255,3250,3.511883361,14342,4.156609718,2,2,0.301029996,0,4,1968,3.294025094,0,98008,47.588,-122.116
430000,5.633468456,4,0.602059991,3,3,0.477121255,1850,3.267171728,9976,3.99895644,2,2,0.301029996,0,0,1991,3.29907126,0,98059,47.5059,-122.149
650000,5.812913357,3,0.477121255,2.25,2,0.301029996,2150,3.33243846,21235,4.327052265,1,1,0,0,3,1959,3.292034436,0,98166,47.4336,-122.339
289000,5.460897843,3,0.477121255,1.75,2,0.301029996,1260,3.100370545,8400,3.924279286,1,1,0,0,0,1954,3.290924559,0,98148,47.4366,-122.335
505000,5.703291378,3,0.477121255,1.75,2,0.301029996,2519,3.401228167,8690,3.939019776,2,2,0.301029996,0,0,1973,3.295127085,0,98166,47.4428,-122.344
549000,5.739572344,3,0.477121255,1.75,2,0.301029996,1540,3.187520721,1044,3.018700499,3,3,0.477121255,0,0,2014,3.304059466,0,98115,47.6765,-122.32
425000,5.62838893,3,0.477121255,2.25,2,0.301029996,1660,3.220108088,6000,3.77815125,1,1,0,0,0,1979,3.296445794,0,98122,47.6113,-122.297
317625,5.501914678,3,0.477121255,2.75,3,0.477121255,2770,3.442479769,3809,3.580810973,1.5,2,0.301029996,0,0,1925,3.284430734,0,98144,47.5747,-122.304
975000,5.989004616,4,0.602059991,2.5,3,0.477121255,2720,3.434568904,11049,4.043322974,2,2,0.301029996,0,0,1989,3.298634783,0,98004,47.5815,-122.192
287000,5.457881897,4,0.602059991,2.5,3,0.477121255,2240,3.350248018,4648,3.667266119,2,2,0.301029996,0,0,2005,3.302114377,0,98001,47.3378,-122.257
204000,5.309630167,3,0.477121255,1,1,0,1000,3,12070,4.08170727,1,1,0,0,0,1968,3.294025094,0,98042,47.3621,-122.11
1.33E+06,6.123851641,5,0.698970004,2.25,2,0.301029996,3200,3.505149978,20158,4.304447441,1,1,0,0,0,1965,3.293362555,0,98004,47.6303,-122.215
1.04E+06,6.017033339,5,0.698970004,3.25,3,0.477121255,4770,3.678518379,50094,4.699785711,1,1,0,0,0,1973,3.295127085,0,98005,47.6525,-122.16
325000,5.511883361,3,0.477121255,2,2,0.301029996,1260,3.100370545,5612,3.749117662,1,1,0,0,0,1972,3.294906911,0,98034,47.7362,-122.179
571000,5.756636108,4,0.602059991,2,2,0.301029996,2750,3.439332694,7807,3.892484179,1.5,2,0.301029996,0,0,1916,3.282395505,0,98125,47.7168,-122.287
360000,5.556302501,4,0.602059991,2.5,3,0.477121255,2380,3.376576957,5000,3.698970004,2,2,0.301029996,0,0,2005,3.302114377,0,98038,47.3608,-122.036
349000,5.542825427,3,0.477121255,1.75,2,0.301029996,1790,3.252853031,50529,4.703540703,1,1,0,0,0,1965,3.293362555,0,98042,47.3511,-122.073
832500,5.920384242,4,0.602059991,4,4,0.602059991,3430,3.53529412,35102,4.545331862,2,2,0.301029996,0,0,1986,3.297979244,0,98075,47.5822,-121.987
380000,5.579783597,4,0.602059991,1.75,2,0.301029996,1760,3.245512668,7300,3.86332286,1,1,0,0,0,1956,3.29136885,0,98008,47.6034,-122.125
480000,5.681241237,3,0.477121255,1,1,0,1040,3.017033339,5060,3.704150517,1,1,0,0,0,1941,3.288025535,0,98116,47.5636,-122.394
410000,5.612783857,3,0.477121255,1,1,0,1410,3.149219113,5060,3.704150517,1,1,0,0,0,1956,3.29136885,0,98133,47.7073,-122.34
720000,5.857332496,4,0.602059991,2.5,3,0.477121255,3450,3.537819095,39683,4.598604497,2,2,0.301029996,0,0,2002,3.301464073,0,98010,47.342,-122.025
390000,5.591064607,3,0.477121255,2.5,3,0.477121255,2350,3.371067862,5100,3.707570176,2,2,0.301029996,0,0,2003,3.301680949,0,98038,47.3512,-122.008
360000,5.556302501,4,0.602059991,2.5,3,0.477121255,1900,3.278753601,5889,3.770041554,2,2,0.301029996,0,0,1992,3.299289334,0,98038,47.349,-122.031
355000,5.550228353,2,0.301029996,1,1,0,2020,3.305351369,6720,3.827369273,1,1,0,0,0,1948,3.289588953,0,98118,47.5474,-122.291
356000,5.551449998,3,0.477121255,1.5,2,0.301029996,1680,3.225309282,8712,3.940117867,1,1,0,0,0,1964,3.293141483,0,98059,47.4811,-122.149
315000,5.498310554,3,0.477121255,1,1,0,960,2.982271233,6634,3.821775467,1,1,0,0,0,1952,3.290479813,0,98125,47.7264,-122.31
940000,5.973127854,3,0.477121255,1.5,2,0.301029996,2140,3.330413773,3600,3.556302501,2,2,0.301029996,0,0,1925,3.284430734,0,98119,47.6337,-122.365
305000,5.484299839,5,0.698970004,2.25,2,0.301029996,2660,3.424881637,8400,3.924279286,1.5,2,0.301029996,0,0,1961,3.292477594,0,98092,47.2909,-122.189
461000,5.663700925,3,0.477121255,3.25,3,0.477121255,2770,3.442479769,6278,3.797821311,2,2,0.301029996,0,0,2006,3.302330929,0,98056,47.5228,-122.199
215000,5.33243846,2,0.301029996,2.25,2,0.301029996,1610,3.206825876,2040,3.309630167,2,2,0.301029996,0,0,1979,3.296445794,0,98056,47.518,-122.194
335000,5.525044807,2,0.301029996,1.75,2,0.301029996,1030,3.012837225,1066,3.027757205,2,2,0.301029996,0,0,2006,3.302330929,0,98136,47.5394,-122.387
243500,5.386498966,4,0.602059991,2.5,3,0.477121255,1980,3.29666519,7403,3.869407749,2,2,0.301029996,0,0,1988,3.29841638,0,98023,47.2897,-122.372
1.10E+06,6.041392685,5,0.698970004,2.75,3,0.477121255,3520,3.546542663,6353,3.802978855,2,2,0.301029996,0,0,2001,3.301247089,0,98199,47.6506,-122.391
153000,5.184691431,3,0.477121255,1,1,0,1200,3.079181246,10500,4.021189299,1,1,0,0,0,1962,3.292699003,0,98023,47.322,-122.351
430000,5.633468456,3,0.477121255,1.5,2,0.301029996,1580,3.198657087,5000,3.698970004,1,1,0,0,0,1939,3.287577809,0,98117,47.687,-122.386
700000,5.84509804,3,0.477121255,1.5,2,0.301029996,1580,3.198657087,5000,3.698970004,1,1,0,0,0,1939,3.287577809,0,98117,47.687,-122.386
905000,5.956648579,4,0.602059991,2.5,3,0.477121255,3300,3.51851394,10250,4.010723865,1,1,0,0,0,1946,3.289142836,1991,98040,47.5873,-122.249
247500,5.393575203,3,0.477121255,1.75,2,0.301029996,1960,3.292256071,15681,4.195373755,1,1,0,0,0,1967,3.29380436,0,98032,47.3576,-122.277
199000,5.298853076,4,0.602059991,1.5,2,0.301029996,1160,3.064457989,6400,3.806179974,1,1,0,0,0,1975,3.2955671,0,98023,47.3036,-122.378
314000,5.496929648,3,0.477121255,1.75,2,0.301029996,1810,3.257678575,41800,4.621176282,1,1,0,0,0,1980,3.29666519,0,98038,47.4109,-121.958
437500,5.640978057,3,0.477121255,2.5,3,0.477121255,2320,3.365487985,36847,4.566402134,2,2,0.301029996,0,2,1992,3.299289334,0,98045,47.4838,-121.714
850830,5.929842795,3,0.477121255,2.5,3,0.477121255,2070,3.315970345,13241,4.121920786,1.5,2,0.301029996,0,0,1910,3.281033367,0,98102,47.6415,-122.315
555000,5.744292983,3,0.477121255,2,2,0.301029996,1980,3.29666519,3478,3.541329578,1.5,2,0.301029996,0,0,1929,3.285332228,0,98117,47.6775,-122.372
699950,5.845067018,3,0.477121255,2.25,2,0.301029996,2190,3.340444115,107593,5.031784017,2,2,0.301029996,0,0,1983,3.297322714,0,98077,47.7731,-122.08
1.09E+06,6.037426498,3,0.477121255,2.5,3,0.477121255,2920,3.465382851,8113,3.909181476,2,2,0.301029996,0,0,1950,3.290034611,2010,98004,47.5814,-122.196
290000,5.462397998,3,0.477121255,1,1,0,1210,3.08278537,33919,4.53044304,1,1,0,0,0,1954,3.290924559,0,98058,47.4375,-122.184
375000,5.574031268,3,0.477121255,2.5,3,0.477121255,2340,3.369215857,10005,4.000217093,1,1,0,0,0,1978,3.296226287,0,98058,47.4431,-122.133
460000,5.662757832,3,0.477121255,1,1,0,1670,3.222716471,4005,3.60260252,1.5,2,0.301029996,0,0,1939,3.287577809,0,98117,47.6878,-122.38
188500,5.275311355,2,0.301029996,1.75,2,0.301029996,1240,3.093421685,2493,3.396722279,1,1,0,0,0,1985,3.297760511,0,98198,47.3813,-122.322
680000,5.832508913,4,0.602059991,2.5,3,0.477121255,3140,3.496929648,28037,4.447731542,2,2,0.301029996,0,0,1991,3.29907126,0,98077,47.7304,-122.082
470000,5.672097858,5,0.698970004,1.75,2,0.301029996,2030,3.307496038,12342,4.091385542,2,2,0.301029996,0,0,1942,3.288249226,0,98052,47.6417,-122.109
597750,5.776519585,4,0.602059991,2.5,3,0.477121255,2310,3.36361198,9624,3.983355614,2,2,0.301029996,0,0,1984,3.297541668,0,98027,47.5386,-122.053
570000,5.755874856,3,0.477121255,1.75,2,0.301029996,1260,3.100370545,3328,3.522183318,1,1,0,0,0,1905,3.27989498,0,98103,47.6823,-122.349
272500,5.435366507,3,0.477121255,1.75,2,0.301029996,1540,3.187520721,12600,4.100370545,1,1,0,0,0,1980,3.29666519,0,98038,47.3624,-122.031
329950,5.518448133,3,0.477121255,1.75,2,0.301029996,2080,3.318063335,5969,3.775901579,1,1,0,0,2,1971,3.294686624,0,98108,47.5474,-122.295
480000,5.681241237,4,0.602059991,2.5,3,0.477121255,3230,3.509202522,16171,4.208736877,2,2,0.301029996,0,3,2001,3.301247089,0,98001,47.3183,-122.253
740500,5.869525063,3,0.477121255,3.5,4,0.602059991,4380,3.641474111,6350,3.802773725,2,2,0.301029996,0,0,1900,3.278753601,1999,98117,47.6981,-122.368
518500,5.714748761,3,0.477121255,3.5,4,0.602059991,1590,3.201397124,1102,3.042181595,3,3,0.477121255,0,0,2010,3.303196057,0,98103,47.6824,-122.347
205425,5.312653296,2,0.301029996,1,1,0,880,2.944482672,6780,3.831229694,1,1,0,0,0,1945,3.288919606,0,98178,47.5009,-122.248
171800,5.235023159,4,0.602059991,2,2,0.301029996,1570,3.195899652,9600,3.982271233,1,1,0,0,0,1950,3.290034611,0,98168,47.4965,-122.303
535000,5.728353782,4,0.602059991,1,1,0,1610,3.206825876,2982,3.474507639,1.5,2,0.301029996,0,0,1925,3.284430734,0,98144,47.587,-122.294
660000,5.819543936,3,0.477121255,2.5,3,0.477121255,2400,3.380211242,6474,3.811172695,1,1,0,0,2,1964,3.293141483,0,98177,47.7728,-122.386
391500,5.592731766,3,0.477121255,2,2,0.301029996,1450,3.161368002,9132,3.960565903,1,1,0,0,0,1987,3.298197867,0,98034,47.7288,-122.226
395000,5.596597096,2,0.301029996,1,1,0,770,2.886490725,6000,3.77815125,1,1,0,0,0,1953,3.290702243,0,98117,47.6999,-122.364
445000,5.648360011,4,0.602059991,1.75,2,0.301029996,2100,3.322219295,4400,3.643452676,1.5,2,0.301029996,0,0,1924,3.284205068,0,98118,47.5299,-122.266
770000,5.886490725,3,0.477121255,2.25,2,0.301029996,2910,3.463892989,10204,4.00877045,2,2,0.301029996,0,0,1990,3.298853076,0,98052,47.6897,-122.098
1.45E+06,6.161368002,4,0.602059991,2.75,3,0.477121255,2750,3.439332694,17789,4.250151535,1.5,2,0.301029996,0,0,1914,3.281941933,1992,98004,47.6141,-122.212
445000,5.648360011,3,0.477121255,2.25,2,0.301029996,2100,3.322219295,8201,3.913866812,1,1,0,0,2,1967,3.29380436,0,98178,47.5091,-122.244
260000,5.414973348,4,0.602059991,2.25,2,0.301029996,2160,3.334453751,8811,3.945025201,1,1,0,0,0,1978,3.296226287,0,98023,47.3129,-122.39
822500,5.915135907,5,0.698970004,3.5,4,0.602059991,2320,3.365487985,4960,3.695481676,2,2,0.301029996,0,0,1926,3.284656283,0,98103,47.6763,-122.352
430000,5.633468456,4,0.602059991,2.5,3,0.477121255,2070,3.315970345,4310,3.63447727,2,2,0.301029996,0,0,2004,3.301897717,0,98065,47.5319,-121.85
212000,5.326335861,3,0.477121255,1.75,2,0.301029996,1060,3.025305865,7875,3.896250562,1,1,0,0,0,1986,3.297979244,0,98092,47.2761,-122.152
660500,5.819872822,4,0.602059991,2.25,2,0.301029996,2010,3.303196057,9603,3.982406929,1,1,0,0,0,1986,3.297979244,0,98027,47.5343,-122.054
784000,5.894316063,3,0.477121255,3.5,4,0.602059991,3950,3.596597096,111078,5.045628052,1.5,2,0.301029996,0,0,1989,3.298634783,0,98052,47.697,-122.072
453246,5.65633398,3,0.477121255,2.5,3,0.477121255,2010,3.303196057,2287,3.359266165,2,2,0.301029996,0,0,2014,3.304059466,0,98029,47.5517,-121.998
675000,5.829303773,4,0.602059991,3.5,4,0.602059991,2140,3.330413773,2278,3.35755372,3,3,0.477121255,0,0,2005,3.302114377,0,98107,47.6734,-122.38
199000,5.298853076,3,0.477121255,1.75,2,0.301029996,1320,3.120573931,17390,4.240299582,1,1,0,0,0,1956,3.29136885,0,98003,47.3257,-122.296
220000,5.342422681,4,0.602059991,1.75,2,0.301029996,2020,3.305351369,7840,3.894316063,1,1,0,0,0,1968,3.294025094,0,98003,47.3309,-122.299
452000,5.655138435,4,0.602059991,2.25,2,0.301029996,2590,3.413299764,10002,4.00008685,1,1,0,0,0,1968,3.294025094,0,98028,47.7689,-122.266
382500,5.582631439,2,0.301029996,1,1,0,1190,3.075546961,4440,3.64738297,1,1,0,0,0,1981,3.296884476,0,98125,47.7135,-122.287
519950,5.715961583,3,0.477121255,2.25,2,0.301029996,1170,3.068185862,1249,3.096562438,3,3,0.477121255,0,0,2014,3.304059466,0,98107,47.6722,-122.381
665000,5.822821645,2,0.301029996,1,1,0,1110,3.045322979,3200,3.505149978,1,1,0,0,0,1925,3.284430734,0,98119,47.6338,-122.358
527700,5.722387094,5,0.698970004,2.5,3,0.477121255,2820,3.450249108,9375,3.971971276,1,1,0,0,0,1968,3.294025094,0,98006,47.5707,-122.128
205000,5.311753861,3,0.477121255,1,1,0,1610,3.206825876,8579,3.933436668,1,1,0,0,0,1962,3.292699003,0,98058,47.4563,-122.171
420000,5.62324929,3,0.477121255,1,1,0,1060,3.025305865,8097,3.908324139,1,1,0,0,0,1923,3.283979284,0,98133,47.7144,-122.351
500000,5.698970004,4,0.602059991,2.25,2,0.301029996,2030,3.307496038,8517,3.930286647,1,1,0,0,0,1961,3.292477594,0,98006,47.5495,-122.174
921500,5.96449534,4,0.602059991,2.5,3,0.477121255,3670,3.564666064,315374,5.498825886,2,2,0.301029996,0,0,1994,3.299725154,0,98077,47.7421,-122.026
890000,5.949390007,4,0.602059991,1,1,0,2550,3.40654018,4000,3.602059991,2,2,0.301029996,0,0,1905,3.27989498,0,98109,47.6354,-122.353
430000,5.633468456,2,0.301029996,2.5,3,0.477121255,2420,3.383815366,60984,4.785215907,2,2,0.301029996,0,0,2007,3.302547372,0,98027,47.5262,-121.943
258000,5.411619706,5,0.698970004,2,2,0.301029996,2260,3.354108439,12500,4.096910013,1,1,0,0,0,1960,3.292256071,0,98032,47.3887,-122.286
511000,5.7084209,3,0.477121255,1,1,0,1430,3.155336037,3455,3.538448052,1,1,0,0,0,1947,3.289365952,0,98103,47.6873,-122.336
532170,5.726050388,3,0.477121255,2,2,0.301029996,1360,3.133538908,3090,3.489958479,2,2,0.301029996,0,0,1990,3.298853076,0,98103,47.6838,-122.353
560000,5.748188027,3,0.477121255,1,1,0,1110,3.045322979,5000,3.698970004,1.5,2,0.301029996,0,0,1947,3.289365952,0,98107,47.655,-122.359
282950,5.451709698,3,0.477121255,1,1,0,1250,3.096910013,8200,3.913813852,1,1,0,0,0,1954,3.290924559,0,98003,47.3255,-122.304
2.25E+06,6.352182518,4,0.602059991,3.25,3,0.477121255,5180,3.71432976,19850,4.297760511,2,2,0.301029996,0,3,2006,3.302330929,0,98006,47.562,-122.162
350000,5.544068044,1,0,1,1,0,700,2.84509804,5100,3.707570176,1,1,0,0,0,1942,3.288249226,0,98115,47.679,-122.3
215000,5.33243846,3,0.477121255,1,1,0,1180,3.071882007,7669,3.884738738,1,1,0,0,0,1967,3.29380436,0,98058,47.4479,-122.176
650000,5.812913357,5,0.698970004,3.5,4,0.602059991,3960,3.597695186,25245,4.402175375,2,2,0.301029996,0,0,1996,3.300160537,0,98056,47.525,-122.172
320000,5.505149978,4,0.602059991,2.75,3,0.477121255,2640,3.421603927,7500,3.875061263,1,1,0,0,0,1967,3.29380436,0,98023,47.3135,-122.369
247000,5.392696953,3,0.477121255,2,2,0.301029996,1270,3.103803721,7198,3.857211842,1.5,2,0.301029996,0,0,1916,3.282395505,2013,98022,47.2086,-121.996
320000,5.505149978,4,0.602059991,1.75,2,0.301029996,1760,3.245512668,11180,4.048441804,1,1,0,0,0,1968,3.294025094,0,98059,47.4715,-122.118
255000,5.40654018,5,0.698970004,2.25,2,0.301029996,2060,3.31386722,8632,3.936111432,1,1,0,0,0,1962,3.292699003,0,98146,47.4877,-122.335
438000,5.641474111,3,0.477121255,1.75,2,0.301029996,1780,3.250420002,9660,3.984977126,1,1,0,0,0,1962,3.292699003,0,98034,47.7171,-122.193
900000,5.954242509,3,0.477121255,2.5,3,0.477121255,3400,3.531478917,16603,4.220186568,2,2,0.301029996,0,0,2000,3.301029996,0,98075,47.6012,-122.023
441000,5.644438589,3,0.477121255,2.75,3,0.477121255,1910,3.281033367,7280,3.862131379,1,1,0,0,0,1979,3.296445794,0,98034,47.7319,-122.224
420000,5.62324929,3,0.477121255,2,2,0.301029996,2020,3.305351369,38332,4.583561479,1,1,0,0,0,1975,3.2955671,0,98027,47.4582,-122.023
370000,5.568201724,3,0.477121255,1.75,2,0.301029996,1580,3.198657087,7000,3.84509804,1,1,0,0,0,1976,3.29578694,0,98034,47.7209,-122.168
269950,5.431283332,2,0.301029996,1.75,2,0.301029996,1340,3.127104798,7250,3.860338007,1,1,0,0,0,1949,3.289811839,0,98198,47.408,-122.327
807100,5.906927347,4,0.602059991,2.5,3,0.477121255,2680,3.428134794,4499,3.653115993,2,2,0.301029996,0,0,1999,3.300812794,0,98006,47.565,-122.125
